 T =  300.0 K
 Configuration with maximum probability:            3
 Configuration with minimum probability:          161

         m  omega(m)         Sd(m)      ene(m)       Ed(m)        p(m)
         1        12  0.214133E-03  -7733.8677  -7733.9319      0.0987
         2         6  0.154402E-03  -7733.8978  -7733.9441      0.1584
         3        12  0.214133E-03  -7733.9003  -7733.9645      0.3482
         4         6  0.154402E-03  -7733.8314  -7733.8777      0.0121
         5         6  0.154402E-03  -7733.9029  -7733.9493      0.1930
         6         6  0.154402E-03  -7733.8822  -7733.9285      0.0865
         7         6  0.154402E-03  -7733.8114  -7733.8577      0.0056
         8         6  0.154402E-03  -7733.7752  -7733.8215      0.0014
         9         6  0.154402E-03  -7733.0714  -7733.1177      0.0000
        10        12  0.214133E-03  -7733.4312  -7733.4954      0.0000
        11        12  0.214133E-03  -7733.7011  -7733.7653      0.0002
        12        12  0.214133E-03  -7733.7732  -7733.8375      0.0026
        13        12  0.214133E-03  -7733.7505  -7733.8148      0.0011
        14        12  0.214133E-03  -7733.7716  -7733.8359      0.0024
        15        12  0.214133E-03  -7733.1165  -7733.1807      0.0000
        16        12  0.214133E-03  -7733.8243  -7733.8885      0.0184
        17        12  0.214133E-03  -7732.9879  -7733.0521      0.0000
        18        12  0.214133E-03  -7733.7943  -7733.8586      0.0058
        19        12  0.214133E-03  -7733.7376  -7733.8019      0.0006
        20        12  0.214133E-03  -7733.8334  -7733.8976      0.0262
        21        12  0.214133E-03  -7733.7347  -7733.7989      0.0006
        22        12  0.214133E-03  -7733.5931  -7733.6574      0.0000
        23        12  0.214133E-03  -7733.5586  -7733.6228      0.0000
        24        12  0.214133E-03  -7733.5686  -7733.6329      0.0000
        25        12  0.214133E-03  -7733.6240  -7733.6882      0.0000
        26        12  0.214133E-03  -7733.5999  -7733.6642      0.0000
        27        12  0.214133E-03  -7732.9121  -7732.9763      0.0000
        28        12  0.214133E-03  -7733.5566  -7733.6209      0.0000
        29        12  0.214133E-03  -7732.9223  -7732.9866      0.0000
        30        12  0.214133E-03  -7733.5990  -7733.6632      0.0000
        31        12  0.214133E-03  -7733.6050  -7733.6692      0.0000
        32        12  0.214133E-03  -7733.5682  -7733.6324      0.0000
        33        12  0.214133E-03  -7733.6006  -7733.6648      0.0000
        34        12  0.214133E-03  -7733.5306  -7733.5948      0.0000
        35        12  0.214133E-03  -7733.4982  -7733.5624      0.0000
        36        12  0.214133E-03  -7733.4668  -7733.5310      0.0000
        37        12  0.214133E-03  -7733.4996  -7733.5638      0.0000
        38        12  0.214133E-03  -7733.5186  -7733.5829      0.0000
        39        12  0.214133E-03  -7733.0345  -7733.0988      0.0000
        40        12  0.214133E-03  -7733.5156  -7733.5798      0.0000
        41        12  0.214133E-03  -7732.9251  -7732.9893      0.0000
        42        12  0.214133E-03  -7733.5118  -7733.5761      0.0000
        43        12  0.214133E-03  -7733.5272  -7733.5914      0.0000
        44        12  0.214133E-03  -7733.4881  -7733.5524      0.0000
        45        12  0.214133E-03  -7733.4939  -7733.5581      0.0000
        46        12  0.214133E-03  -7732.8850  -7732.9493      0.0000
        47        12  0.214133E-03  -7732.9853  -7733.0495      0.0000
        48        12  0.214133E-03  -7732.9983  -7733.0625      0.0000
        49        12  0.214133E-03  -7732.9963  -7733.0605      0.0000
        50        12  0.214133E-03  -7732.9736  -7733.0378      0.0000
        51        12  0.214133E-03  -7732.9852  -7733.0495      0.0000
        52        12  0.214133E-03  -7732.9978  -7733.0621      0.0000
        53        12  0.214133E-03  -7732.9328  -7732.9970      0.0000
        54        12  0.214133E-03  -7732.9888  -7733.0531      0.0000
        55        12  0.214133E-03  -7732.9970  -7733.0613      0.0000
        56        12  0.214133E-03  -7732.9892  -7733.0534      0.0000
        57        12  0.214133E-03  -7732.9912  -7733.0554      0.0000
        58        12  0.214133E-03  -7733.7473  -7733.8116      0.0009
        59         6  0.154402E-03  -7733.7927  -7733.8390      0.0027
        60        12  0.214133E-03  -7733.7510  -7733.8152      0.0011
        61         6  0.154402E-03  -7733.7150  -7733.7613      0.0001
        62         6  0.154402E-03  -7733.8574  -7733.9038      0.0332
        63         6  0.154402E-03  -7733.7152  -7733.7615      0.0001
        64         6  0.154402E-03  -7733.0892  -7733.1355      0.0000
        65         6  0.154402E-03  -7733.6491  -7733.6954      0.0000
        66         6  0.154402E-03  -7733.6920  -7733.7384      0.0001
        67        12  0.214133E-03  -7732.9864  -7733.0506      0.0000
        68        12  0.214133E-03  -7733.5353  -7733.5996      0.0000
        69        12  0.214133E-03  -7733.5163  -7733.5806      0.0000
        70        12  0.214133E-03  -7733.5039  -7733.5681      0.0000
        71        12  0.214133E-03  -7733.5276  -7733.5919      0.0000
        72        12  0.214133E-03  -7733.5630  -7733.6273      0.0000
        73        12  0.214133E-03  -7733.5300  -7733.5942      0.0000
        74        12  0.214133E-03  -7733.5393  -7733.6035      0.0000
        75        12  0.214133E-03  -7733.5095  -7733.5737      0.0000
        76        12  0.214133E-03  -7732.9396  -7733.0038      0.0000
        77        12  0.214133E-03  -7733.5232  -7733.5875      0.0000
        78        12  0.214133E-03  -7733.5214  -7733.5857      0.0000
        79        12  0.214133E-03  -7732.7821  -7732.8463      0.0000
        80        12  0.214133E-03  -7733.4424  -7733.5066      0.0000
        81        12  0.214133E-03  -7733.4567  -7733.5209      0.0000
        82        12  0.214133E-03  -7733.4199  -7733.4841      0.0000
        83        12  0.214133E-03  -7733.4485  -7733.5127      0.0000
        84        12  0.214133E-03  -7733.4964  -7733.5607      0.0000
        85        12  0.214133E-03  -7733.4233  -7733.4875      0.0000
        86        12  0.214133E-03  -7733.4585  -7733.5227      0.0000
        87        12  0.214133E-03  -7733.4288  -7733.4931      0.0000
        88        12  0.214133E-03  -7732.9734  -7733.0377      0.0000
        89        12  0.214133E-03  -7733.4383  -7733.5025      0.0000
        90        12  0.214133E-03  -7733.4491  -7733.5134      0.0000
        91        12  0.214133E-03  -7732.8234  -7732.8876      0.0000
        92        12  0.214133E-03  -7732.9234  -7732.9876      0.0000
        93        12  0.214133E-03  -7732.9324  -7732.9966      0.0000
        94        12  0.214133E-03  -7732.9347  -7732.9989      0.0000
        95        12  0.214133E-03  -7732.9833  -7733.0476      0.0000
        96        12  0.214133E-03  -7732.9315  -7732.9957      0.0000
        97        12  0.214133E-03  -7732.9397  -7733.0040      0.0000
        98        12  0.214133E-03  -7732.8967  -7732.9610      0.0000
        99        12  0.214133E-03  -7732.9561  -7733.0203      0.0000
       100        12  0.214133E-03  -7732.9211  -7732.9854      0.0000
       101        12  0.214133E-03  -7732.9417  -7733.0059      0.0000
       102        12  0.214133E-03  -7732.9055  -7732.9698      0.0000
       103        12  0.214133E-03  -7733.3378  -7733.4020      0.0000
       104         6  0.154402E-03  -7733.3292  -7733.3755      0.0000
       105        12  0.214133E-03  -7733.3153  -7733.3796      0.0000
       106         6  0.154402E-03  -7733.3075  -7733.3538      0.0000
       107         6  0.154402E-03  -7733.2819  -7733.3282      0.0000
       108         6  0.154402E-03  -7733.2810  -7733.3274      0.0000
       109         6  0.154402E-03  -7732.7062  -7732.7525      0.0000
       110         6  0.154402E-03  -7733.2401  -7733.2865      0.0000
       111         6  0.154402E-03  -7733.2881  -7733.3344      0.0000
       112        12  0.214133E-03  -7732.7152  -7732.7794      0.0000
       113        12  0.214133E-03  -7733.2290  -7733.2933      0.0000
       114        12  0.214133E-03  -7733.1838  -7733.2480      0.0000
       115        12  0.214133E-03  -7733.2157  -7733.2799      0.0000
       116        12  0.214133E-03  -7732.9959  -7733.0602      0.0000
       117        12  0.214133E-03  -7733.1926  -7733.2568      0.0000
       118        12  0.214133E-03  -7733.2611  -7733.3253      0.0000
       119        12  0.214133E-03  -7733.2574  -7733.3217      0.0000
       120        12  0.214133E-03  -7733.2120  -7733.2763      0.0000
       121        12  0.214133E-03  -7732.7277  -7732.7920      0.0000
       122        12  0.214133E-03  -7733.2357  -7733.2999      0.0000
       123        12  0.214133E-03  -7733.2376  -7733.3018      0.0000
