 T =  300.0 K
 Configuration with maximum probability:            2
 Configuration with minimum probability:         2853

         m  omega(m)         Sd(m)      ene(m)       Ed(m)        p(m)
         1         1  0.000000E+00  -7727.8681  -7727.8681      0.0017
         2        12  0.214133E-03  -7727.9360  -7728.0003      0.2773
         3        12  0.214133E-03  -7727.9296  -7727.9938      0.2163
         4        12  0.214133E-03  -7727.9281  -7727.9923      0.2041
         5        12  0.214133E-03  -7727.8639  -7727.9281      0.0170
         6        12  0.214133E-03  -7727.9184  -7727.9827      0.1403
         7        12  0.214133E-03  -7727.8525  -7727.9167      0.0110
         8        12  0.214133E-03  -7727.7241  -7727.7883      0.0001
         9        12  0.214133E-03  -7727.0293  -7727.0935      0.0000
        10        12  0.214133E-03  -7727.0008  -7727.0650      0.0000
        11        12  0.214133E-03  -7727.4019  -7727.4661      0.0000
        12        12  0.214133E-03  -7727.3300  -7727.3942      0.0000
        13        12  0.214133E-03  -7727.6739  -7727.7381      0.0000
        14        12  0.214133E-03  -7727.1051  -7727.1693      0.0000
        15        12  0.214133E-03  -7727.7168  -7727.7811      0.0001
        16        12  0.214133E-03  -7727.1132  -7727.1775      0.0000
        17        12  0.214133E-03  -7727.1657  -7727.2299      0.0000
        18        12  0.214133E-03  -7727.0357  -7727.1000      0.0000
        19        12  0.214133E-03  -7727.8087  -7727.8729      0.0020
        20        12  0.214133E-03  -7727.7711  -7727.8354      0.0005
        21        12  0.214133E-03  -7727.7669  -7727.8311      0.0004
        22        12  0.214133E-03  -7727.6709  -7727.7352      0.0000
        23        12  0.214133E-03  -7727.5656  -7727.6298      0.0000
        24        12  0.214133E-03  -7727.5504  -7727.6146      0.0000
        25        12  0.214133E-03  -7727.5314  -7727.5957      0.0000
        26        12  0.214133E-03  -7726.9190  -7726.9832      0.0000
        27        12  0.214133E-03  -7727.6262  -7727.6904      0.0000
        28        12  0.214133E-03  -7726.9025  -7726.9667      0.0000
        29        12  0.214133E-03  -7726.9779  -7727.0421      0.0000
        30        12  0.214133E-03  -7727.0157  -7727.0800      0.0000
        31        12  0.214133E-03  -7727.5620  -7727.6262      0.0000
        32        12  0.214133E-03  -7727.5820  -7727.6462      0.0000
        33        12  0.214133E-03  -7727.5754  -7727.6396      0.0000
        34        12  0.214133E-03  -7727.6153  -7727.6796      0.0000
        35        12  0.214133E-03  -7727.4779  -7727.5421      0.0000
        36        12  0.214133E-03  -7727.5038  -7727.5680      0.0000
        37        12  0.214133E-03  -7727.4483  -7727.5125      0.0000
        38        12  0.214133E-03  -7727.0136  -7727.0779      0.0000
        39        12  0.214133E-03  -7727.5028  -7727.5671      0.0000
        40        12  0.214133E-03  -7727.0181  -7727.0824      0.0000
        41        12  0.214133E-03  -7726.9092  -7726.9734      0.0000
        42        12  0.214133E-03  -7726.8979  -7726.9621      0.0000
        43        12  0.214133E-03  -7727.5105  -7727.5747      0.0000
        44        12  0.214133E-03  -7727.4962  -7727.5605      0.0000
        45        12  0.214133E-03  -7727.4642  -7727.5285      0.0000
        46        12  0.214133E-03  -7727.5036  -7727.5679      0.0000
        47        12  0.214133E-03  -7726.8737  -7726.9380      0.0000
        48        12  0.214133E-03  -7726.8646  -7726.9288      0.0000
        49        12  0.214133E-03  -7726.9802  -7727.0444      0.0000
        50        12  0.214133E-03  -7726.9784  -7727.0427      0.0000
        51        12  0.214133E-03  -7726.9670  -7727.0312      0.0000
        52        12  0.214133E-03  -7726.9491  -7727.0134      0.0000
        53        12  0.214133E-03  -7726.9220  -7726.9863      0.0000
        54        12  0.214133E-03  -7726.9119  -7726.9762      0.0000
        55        12  0.214133E-03  -7726.9841  -7727.0483      0.0000
        56        12  0.214133E-03  -7726.9797  -7727.0439      0.0000
        57        12  0.214133E-03  -7726.9762  -7727.0405      0.0000
        58        12  0.214133E-03  -7726.9826  -7727.0469      0.0000
        59        12  0.214133E-03  -7727.8088  -7727.8731      0.0020
        60        12  0.214133E-03  -7727.8489  -7727.9132      0.0095
        61        12  0.214133E-03  -7727.0939  -7727.1582      0.0000
        62        12  0.214133E-03  -7727.4042  -7727.4685      0.0000
        63        12  0.214133E-03  -7727.6988  -7727.7631      0.0000
        64        12  0.214133E-03  -7727.1316  -7727.1958      0.0000
        65        12  0.214133E-03  -7727.7853  -7727.8495      0.0008
        66        12  0.214133E-03  -7727.0990  -7727.1632      0.0000
        67        12  0.214133E-03  -7727.7544  -7727.8186      0.0002
        68        12  0.214133E-03  -7727.6506  -7727.7148      0.0000
        69        12  0.214133E-03  -7727.5899  -7727.6541      0.0000
        70        12  0.214133E-03  -7726.9189  -7726.9831      0.0000
        71        12  0.214133E-03  -7727.5937  -7727.6580      0.0000
        72        12  0.214133E-03  -7726.9009  -7726.9652      0.0000
        73        12  0.214133E-03  -7727.6362  -7727.7004      0.0000
        74        12  0.214133E-03  -7727.5412  -7727.6054      0.0000
        75        12  0.214133E-03  -7727.5308  -7727.5951      0.0000
        76        12  0.214133E-03  -7727.0492  -7727.1134      0.0000
        77        12  0.214133E-03  -7727.5520  -7727.6163      0.0000
        78        12  0.214133E-03  -7726.9380  -7727.0023      0.0000
        79        12  0.214133E-03  -7727.5141  -7727.5783      0.0000
        80        12  0.214133E-03  -7726.8997  -7726.9639      0.0000
        81        12  0.214133E-03  -7726.9891  -7727.0534      0.0000
        82        12  0.214133E-03  -7727.0109  -7727.0752      0.0000
        83        12  0.214133E-03  -7727.0212  -7727.0854      0.0000
        84        12  0.214133E-03  -7726.9470  -7727.0112      0.0000
        85        12  0.214133E-03  -7727.0090  -7727.0732      0.0000
        86        12  0.214133E-03  -7727.7775  -7727.8418      0.0006
        87        12  0.214133E-03  -7727.1106  -7727.1749      0.0000
        88        12  0.214133E-03  -7727.8662  -7727.9304      0.0186
        89        12  0.214133E-03  -7727.8724  -7727.9367      0.0237
        90        12  0.214133E-03  -7727.8265  -7727.8908      0.0040
        91        12  0.214133E-03  -7727.0304  -7727.0946      0.0000
        92        12  0.214133E-03  -7726.9616  -7727.0259      0.0000
        93        12  0.214133E-03  -7727.6804  -7727.7446      0.0000
        94        12  0.214133E-03  -7727.7774  -7727.8416      0.0006
        95        12  0.214133E-03  -7727.7551  -7727.8194      0.0003
        96        12  0.214133E-03  -7727.4520  -7727.5162      0.0000
        97        12  0.214133E-03  -7727.1128  -7727.1770      0.0000
        98        12  0.214133E-03  -7727.8841  -7727.9483      0.0372
        99        12  0.214133E-03  -7726.9873  -7727.0516      0.0000
       100        12  0.214133E-03  -7727.7636  -7727.8278      0.0004
       101        12  0.214133E-03  -7727.1456  -7727.2098      0.0000
       102        12  0.214133E-03  -7727.8534  -7727.9176      0.0113
       103        12  0.214133E-03  -7727.7844  -7727.8486      0.0008
       104        12  0.214133E-03  -7726.9146  -7726.9789      0.0000
       105        12  0.214133E-03  -7727.6160  -7727.6803      0.0000
       106        12  0.214133E-03  -7727.6039  -7727.6682      0.0000
       107        12  0.214133E-03  -7727.6286  -7727.6928      0.0000
       108        12  0.214133E-03  -7727.6268  -7727.6910      0.0000
       109        12  0.214133E-03  -7726.9358  -7727.0001      0.0000
       110        12  0.214133E-03  -7727.5629  -7727.6271      0.0000
       111        12  0.214133E-03  -7726.9131  -7726.9773      0.0000
       112        12  0.214133E-03  -7727.6436  -7727.7079      0.0000
       113        12  0.214133E-03  -7727.0246  -7727.0888      0.0000
       114        12  0.214133E-03  -7727.6038  -7727.6680      0.0000
       115        12  0.214133E-03  -7727.5953  -7727.6596      0.0000
       116        12  0.214133E-03  -7727.0243  -7727.0885      0.0000
       117        12  0.214133E-03  -7727.5150  -7727.5793      0.0000
       118        12  0.214133E-03  -7727.4989  -7727.5632      0.0000
       119        12  0.214133E-03  -7727.4796  -7727.5438      0.0000
       120        12  0.214133E-03  -7727.5561  -7727.6203      0.0000
       121        12  0.214133E-03  -7727.0522  -7727.1164      0.0000
       122        12  0.214133E-03  -7727.5164  -7727.5806      0.0000
       123        12  0.214133E-03  -7726.9309  -7726.9952      0.0000
       124        12  0.214133E-03  -7727.5552  -7727.6195      0.0000
       125        12  0.214133E-03  -7726.9372  -7727.0014      0.0000
       126        12  0.214133E-03  -7727.5110  -7727.5753      0.0000
       127        12  0.214133E-03  -7727.5188  -7727.5830      0.0000
       128        12  0.214133E-03  -7726.9031  -7726.9673      0.0000
       129        12  0.214133E-03  -7727.0118  -7727.0760      0.0000
       130        12  0.214133E-03  -7727.0044  -7727.0686      0.0000
       131        12  0.214133E-03  -7727.0257  -7727.0899      0.0000
       132        12  0.214133E-03  -7726.8827  -7726.9470      0.0000
       133        12  0.214133E-03  -7726.9997  -7727.0639      0.0000
       134        12  0.214133E-03  -7727.0159  -7727.0802      0.0000
       135        12  0.214133E-03  -7726.9568  -7727.0210      0.0000
       136        12  0.214133E-03  -7727.0169  -7727.0811      0.0000
       137        12  0.214133E-03  -7726.9543  -7727.0186      0.0000
       138        12  0.214133E-03  -7727.0098  -7727.0740      0.0000
       139        12  0.214133E-03  -7727.0190  -7727.0832      0.0000
       140        12  0.214133E-03  -7727.4223  -7727.4865      0.0000
       141        12  0.214133E-03  -7727.0857  -7727.1499      0.0000
       142        12  0.214133E-03  -7727.7268  -7727.7911      0.0001
       143        12  0.214133E-03  -7727.6483  -7727.7125      0.0000
       144        12  0.214133E-03  -7727.7652  -7727.8294      0.0004
       145        12  0.214133E-03  -7726.9543  -7727.0185      0.0000
       146        12  0.214133E-03  -7727.5204  -7727.5846      0.0000
       147        12  0.214133E-03  -7726.9605  -7727.0248      0.0000
       148        12  0.214133E-03  -7727.5376  -7727.6018      0.0000
       149        12  0.214133E-03  -7727.5973  -7727.6615      0.0000
       150        12  0.214133E-03  -7727.5389  -7727.6031      0.0000
       151        12  0.214133E-03  -7726.8788  -7726.9431      0.0000
       152        12  0.214133E-03  -7727.4901  -7727.5543      0.0000
